City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Sande,DE,2020-05-08 21:20:16,53.5,8.01,54.0,71,75,2.24
71,Tasiilaq,GL,2020-05-08 21:17:44,65.61,-37.64,32.0,86,0,3.36
72,Atambua,ID,2020-05-08 21:20:17,-9.11,124.89,69.53,85,0,5.08
73,Moshi,TZ,2020-05-08 21:20:17,-3.35,37.33,68.85,79,100,1.68
74,Ohara,JP,2020-05-08 21:20:17,35.25,140.38,64.0,72,75,6.93
75,Alofi,NU,2020-05-08 21:13:51,-19.06,-169.92,80.6,78,75,11.41
76,Shingu,JP,2020-05-08 21:15:58,33.73,135.98,59.41,79,100,4.68
77,Anzio,IT,2020-05-08 21:20:17,41.49,12.62,62.01,74,100,3.87
78,Colwyn Bay,GB,2020-05-08 21:20:17,53.29,-3.73,52.0,90,0,2.3
79,Dalvik,IS,2020-05-08 21:20:18,65.97,-18.53,33.8,64,75,18.34
80,Ponta Do Sol,PT,2020-05-08 21:10:19,32.67,-17.1,66.2,72,20,3.36
81,Tiarei,PF,2020-05-08 21:20:18,-17.53,-149.33,86.0,70,12,9.17
82,Talaya,RU,2020-05-08 21:20:18,61.38,152.75,23.99,94,49,1.12
83,Mouila,GA,2020-05-08 21:20:18,-1.87,11.06,77.4,93,100,0.56
84,Kurumkan,RU,2020-05-08 21:20:18,54.3,110.3,36.3,79,47,4.16
85,Butaritari,KI,2020-05-08 21:14:27,3.07,172.79,83.03,76,100,8.25
86,Mar Del Plata,AR,2020-05-08 21:18:32,-38.0,-57.56,60.8,67,49,16.11
87,Constitucion,CL,2020-05-08 21:19:08,-35.33,-72.42,60.4,80,89,4.94
88,Avarua,CK,2020-05-08 21:18:43,-21.21,-159.78,82.4,74,71,9.17
89,Fukue,JP,2020-05-08 21:17:58,32.69,128.84,68.47,80,97,25.72
90,Bathsheba,BB,2020-05-08 21:18:01,13.22,-59.52,84.2,66,20,20.8
91,Lagos,NG,2020-05-08 21:19:07,6.58,3.75,84.2,83,40,8.05
92,Pozoblanco,ES,2020-05-08 21:20:19,38.38,-4.85,68.0,64,31,9.17
93,Margate,GB,2020-05-08 21:16:55,51.38,1.39,55.99,61,26,8.99
94,Hilo,US,2020-05-08 21:15:58,19.73,-155.09,82.4,51,1,4.7
95,Shache,CN,2020-05-08 21:20:20,38.42,77.24,61.9,47,48,3.87
96,Ketchikan,US,2020-05-08 21:15:56,55.34,-131.65,59.0,51,1,13.87
97,Moshenskoye,RU,2020-05-08 21:20:20,58.51,34.59,40.57,79,19,2.8
98,Ambositra,MG,2020-05-08 21:20:20,-20.52,47.25,58.32,93,90,4.09
99,Hirara,JP,2020-05-08 21:16:40,24.8,125.28,76.75,85,37,9.64
100,Bambous Virieux,MU,2020-05-08 21:19:17,-20.34,57.76,73.4,94,40,4.7
101,Wenatchee,US,2020-05-08 21:20:21,47.42,-120.31,70.0,28,1,4.7
102,Port Elizabeth,ZA,2020-05-08 21:20:21,-33.92,25.57,60.8,93,0,2.24
103,Baruun-Urt,MN,2020-05-08 21:20:21,46.68,113.28,44.87,68,7,8.39
104,Bengkulu,ID,2020-05-08 21:19:01,-3.8,102.27,77.47,86,100,3.02
105,Narsaq,GL,2020-05-08 21:18:39,60.92,-46.05,51.8,50,75,9.17
106,Leon Valley,US,2020-05-08 21:20:22,29.5,-98.62,84.2,42,40,21.92
107,Tura,IN,2020-05-08 21:20:22,25.52,90.22,72.99,41,0,4.05
108,Pevek,RU,2020-05-08 21:18:45,69.7,170.31,33.58,89,0,8.21
109,Chokurdakh,RU,2020-05-08 21:18:51,70.63,147.92,21.09,97,95,7.07
110,Oistins,BB,2020-05-08 21:16:41,13.07,-59.53,84.2,66,20,20.8
111,Puerto Madero,MX,2020-05-08 21:15:45,14.72,-92.42,95.0,47,40,17.22
112,Port Augusta,AU,2020-05-08 21:20:23,-32.5,137.77,53.6,71,40,9.17
113,Luau,AO,2020-05-08 21:20:23,-10.71,22.22,67.1,75,6,3.91
114,Qasigiannguit,GL,2020-05-08 21:20:23,68.82,-51.19,32.0,88,96,8.05
115,Asau,RO,2020-05-08 21:15:02,46.43,26.4,46.0,75,83,1.12
116,Kenora,CA,2020-05-08 21:19:44,49.82,-94.43,42.8,30,20,8.05
117,Racine,US,2020-05-08 21:17:36,42.75,-88.08,44.6,24,1,12.75
118,Saint-Pierre,RE,2020-05-08 21:20:24,-21.34,55.48,71.6,60,90,11.41
119,Pathein,MM,2020-05-08 21:20:24,16.78,94.73,81.12,79,4,7.67
120,Hopeman,GB,2020-05-08 21:20:24,57.71,-3.43,51.01,93,75,3.36
121,Harrow,GB,2020-05-08 21:20:24,51.57,-0.33,64.99,52,97,4.7
122,Grindavik,IS,2020-05-08 21:20:25,63.84,-22.43,41.0,56,0,19.46
123,Srednekolymsk,RU,2020-05-08 21:18:04,67.45,153.68,31.42,96,0,8.14
124,Avera,US,2020-05-08 21:15:44,33.19,-82.53,69.8,46,1,5.82
125,Poum,NC,2020-05-08 21:18:16,-20.23,164.02,73.76,70,0,7.07
126,San Carlos De Bariloche,AR,2020-05-08 21:20:25,-41.15,-71.31,57.0,81,90,27.51
127,Christchurch,NZ,2020-05-08 21:20:12,-43.53,172.63,54.0,100,63,4.03
