City_ID,City,Country,Max Temp,description,Lat,Lng,Hotel Name
526,Kigorobya,UG,68.23,light rain,1.62,31.31,Palace guest house kigorobya
528,Tabas,IR,67.66,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
532,Lima,PE,71.6,clear sky,-12.04,-77.03,Gran Hotel Bolivar Lima
534,Dauphin,CA,55.4,clear sky,51.15,-100.05,Canway Inn & Suites
535,Yumen,CN,59.67,overcast clouds,40.28,97.2,
537,Laguna,US,70.0,broken clouds,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
539,Port Hedland,AU,69.8,clear sky,-20.32,118.57,The Esplanade Hotel
540,Scottsbluff,US,60.8,clear sky,41.87,-103.67,Hampton Inn & Suites Scottsbluff-Conference Center
541,Otjimbingwe,,65.52,few clouds,-22.35,16.13,
542,Bandarban,BD,74.88,clear sky,22.2,92.23,Hotel Plaza
548,West Wendover,US,73.4,clear sky,40.74,-114.07,"Motel 6 Wendover, UT"
549,Virginia Beach,US,64.0,scattered clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
550,Praia Da Vitoria,PT,57.2,scattered clouds,38.73,-27.07,Hotel Branco I
553,Marsh Harbour,BS,75.0,clear sky,26.54,-77.06,Abaco Beach Resort
555,Kapiri Mposhi,ZM,57.7,scattered clouds,-13.97,28.68,MA 22 LODGE
558,Vila,PT,59.0,broken clouds,42.03,-8.16,Hotel Castrum Villae
559,Ust-Ishim,RU,65.19,clear sky,57.69,71.17,"Velichko T.p., Gostinitsa"
